date,repo_count,weekly_change,new_repos,top_repo,top_repo_stars
2026-02-25,2360,0,0,fastapi/fastapi,95545
2026-03-01,2372,12,12,fastapi/fastapi,95703
2026-03-08,2393,21,21,fastapi/fastapi,95986
2026-03-15,2420,27,27,fastapi/fastapi,96206
2026-03-22,2464,44,44,fastapi/fastapi,96460
2026-03-29,2507,43,43,fastapi/fastapi,96645
2026-04-05,2507,0,0,fastapi/fastapi,96845
2026-04-12,2543,36,36,fastapi/fastapi,97084
2026-04-19,2579,36,36,fastapi/fastapi,97378
2026-04-26,2616,37,37,fastapi/fastapi,97646
2026-05-03,2658,42,42,fastapi/fastapi,97828
2026-05-10,2715,57,57,fastapi/fastapi,98055
2026-05-17,2764,49,49,fastapi/fastapi,98262
2026-05-24,2797,33,33,fastapi/fastapi,98467
2026-05-31,2870,73,73,fastapi/fastapi,98684
2026-06-07,2918,48,48,fastapi/fastapi,98996
2026-06-14,2982,64,64,fastapi/fastapi,99174
2026-06-21,3022,40,40,fastapi/fastapi,99439
2026-06-28,3094,72,72,fastapi/fastapi,99719
2026-07-05,3159,65,65,fastapi/fastapi,100017
2026-07-12,3214,55,55,fastapi/fastapi,100390
2026-07-19,3303,89,89,fastapi/fastapi,100647
